Dataset,Algorithm,AMI,ARI,Time
0,KMeans,0.6482088638472706,0.6100728505285608,0.0795190334320068
1,KMeans,0.8745794404379261,0.8974949815093207,0.0498690605163574
2,KMeans,0.6226692841842362,0.46616510802206457,0.1669771671295166
