Dataset,Algorithm,AMI,ARI,Time
0,QuickShift,0.7315847607219574,0.5681159420289855,0.0089349746704101
1,QuickShift,0.0,0.0,0.0121510028839111
2,QuickShift,0.0005162552228536034,2.899138991800749e-05,0.3431100845336914
