Dataset,Algorithm,AMI,ARI,Time
0,MeanShift,0.7315847607219574,0.5681159420289855,0.3184890747070312
1,MeanShift,0.0236793965393957,-0.0064242403723043,0.6467399597167969
2,MeanShift,0.007895942361383915,8.37350466209837e-05,40.25524187088013
